date,temp_mean_mean,temp_mean_min,temp_mean_max,temp_mean_std,rain_total_sum,rain_total_mean,humid_mean_mean
2024-12-31,13.725161290322582,7.07,19.81,2.8057724675719777,12.95,0.41774193548387095,73.13225806451612
2025-01-31,16.891290322580645,10.56,22.1,2.6827793323783746,20.27,0.6538709677419354,67.33548387096775
2025-02-28,21.721785714285716,16.06,27.86,2.988000760537645,19.150000000000002,0.6839285714285716,60.146428571428565
2025-03-31,25.764193548387098,21.03,29.67,2.569850545840553,8.26,0.2664516129032258,53.57741935483871
2025-04-30,24.79733333333333,20.67,30.2,2.359505987648077,48.55,1.6183333333333332,55.2
2025-05-31,21.7958064516129,16.72,28.0,2.7527958807892605,23.43,0.7558064516129032,60.903225806451616
2025-06-30,17.683666666666667,12.25,22.88,2.5057237695315493,21.07,0.7023333333333334,67.82
2025-07-31,12.178387096774193,5.73,19.7,2.757766121065133,21.55,0.6951612903225807,74.1258064516129
2025-08-31,7.38516129032258,-0.38,12.43,2.742984835257317,14.920000000000002,0.4812903225806452,82.38709677419355
2025-09-30,5.909000000000001,0.89,11.06,2.593197134679573,38.230000000000004,1.2743333333333335,83.09666666666666
2025-10-31,4.776451612903226,-0.32,11.43,2.3588253409795543,23.68,0.7638709677419355,85.58709677419354
2025-11-30,7.694333333333333,2.11,11.95,2.489810522265019,37.129999999999995,1.2376666666666665,78.68666666666667
